"id","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_gesamt","acc_usable","acc_satisfying"
1,1,0,0,1,1,0,1,1,1,6,4,2
2,0,-1,0,-1,-1,0,0,1,0,-2,-1,-1
3,0,-1,-1,-1,-1,0,1,0,0,-3,-1,-2
4,1,1,1,1,2,1,1,1,0,9,5,4
5,0,1,1,1,1,1,0,1,0,6,2,4
6,2,1,-2,1,0,-1,2,2,1,6,3,3
7,0,0,0,0,0,0,0,0,0,0,0,0
8,2,2,2,2,2,2,2,2,0,16,8,8
9,0,-1,-1,0,0,-1,0,0,0,-3,-1,-2
10,1,0,1,0,1,1,1,0,1,6,5,1
11,0,0,1,0,1,0,0,0,1,3,3,0
12,0,0,0,-1,0,-1,0,0,1,-1,1,-2
13,0,0,0,0,0,0,0,0,0,0,0,0
14,2,1,2,1,2,1,2,2,2,15,10,5
15,-1,-1,-2,-1,-1,-1,-1,-2,0,-10,-5,-5
16,-1,1,1,1,1,1,1,1,2,8,4,4
17,2,0,1,1,0,1,1,2,-1,7,3,4
18,1,1,1,2,1,1,1,2,0,10,4,6
19,0,0,1,2,0,0,1,1,0,5,2,3
20,1,0,0,1,-1,0,0,0,1,2,1,1
21,2,2,1,1,1,1,2,1,1,12,7,5
22,1,0,1,2,1,0,1,1,2,9,6,3
23,1,-1,-1,-1,-1,0,-1,-2,0,-6,-2,-4
24,0,0,1,-1,0,0,1,0,1,2,3,-1
25,2,1,1,1,1,0,1,1,1,9,6,3
26,1,1,1,1,0,1,0,0,2,7,4,3
27,0,-1,0,-1,1,-1,0,-1,1,-2,2,-4
28,1,0,0,1,1,0,1,1,0,5,3,2
29,1,1,1,1,1,1,1,1,0,8,4,4
30,1,1,0,1,1,1,1,1,0,7,3,4
31,1,0,1,-1,1,-1,2,1,0,4,5,-1
32,1,-1,-1,-1,0,0,1,1,0,0,1,-1
33,2,2,2,2,2,2,2,2,2,18,10,8
34,1,0,0,-1,0,0,0,0,-1,-1,0,-1
35,1,1,1,0,1,1,0,0,0,5,3,2
36,-1,-1,-1,-1,-1,0,-1,-1,0,-7,-4,-3
37,0,0,0,0,0,0,0,0,-1,-1,-1,0
38,0,0,-1,1,0,0,1,1,0,2,0,2
